Country;PostalCode;Suburb;Region;RegionCode;Province;ProvinceCode;City;Occurrences;Lat_Old;Long_Old
BE;2980;Zoersel;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.683;4.713
BE;2980;Halle;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.407;46.433
BE;2990;Wuustwezel;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.921;45.955
BE;2990;Loenhout;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.995;4.644
BE;1500;Halle;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.338;42.345
BE;1501;Buizingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.354;42.477
BE;1502;Lembeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.157;42.183
BE;1540;Herfelingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.482;40.975
BE;1540;Herne;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.242;40.348
BE;1541;Sint-Pieters-Kapelle;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.076;3.99
BE;1547;Biévène;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.164;39.412
BE;1560;Hoeilaart;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.673;44.683
BE;1570;Galmaarden;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.539;39.712
BE;1570;Tollembeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.741;40.067
BE;1570;Vollezele;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.612;40.243
BE;1600;Oudenaken;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.798;41.978
BE;1600;Sint-Laureins-Berchem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.872;42.001
BE;1600;Sint-Pieters-Leeuw;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.793;42.435
BE;1601;Ruisbroek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.901;42.977
BE;1602;Vlezenbeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.078;4.232
BE;1620;Drogenbos;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.873;43.147
BE;1630;Linkebeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.678;43.369
BE;1640;Rhode-Saint-Genèse;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.464;43.575
BE;1650;Beersel;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.659;43.002
BE;1651;Lot;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.679;42.771
BE;1652;Alsemberg;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.413;43.375
BE;1653;Dworp;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.298;43.011
BE;1654;Huizingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.465;42.738
BE;1670;Pepingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.592;41.598
BE;1670;Bogaarden;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.399;41.359
BE;1670;Heikruis;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.351;41.116
BE;1671;Elingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.789;41.709
BE;1673;Beert;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.741;4.181
BE;1674;Bellingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.409;41.537
BE;1700;Dilbeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.848;42.597
BE;1700;Sint-Martens-Bodegem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.618;42.132
BE;1700;Sint-Ulriks-Kapelle;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.879;42.188
BE;1701;Itterbeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.838;42.495
BE;1702;Groot-Bijgaarden;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.717;42.497
BE;1703;Schepdaal;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.384;41.961
BE;1730;Mollem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.312;42.263
BE;1730;Asse;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.101;41.984
BE;1730;Kobbegem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.082;42.525
BE;1730;Bekkerzeel;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.854;42.378
BE;1731;Zellik;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.841;42.733
BE;1731;Relegem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.991;42.769
BE;1740;Ternat;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.665;41.668
BE;1741;Wambeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.528;41.617
BE;1742;Sint-Katherina-Lombeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.731;41.536
